# Simple kayak hull geometry
# Name: Simple Box Kayak
# Description: Simple rectangular kayak for testing
# Units: m
# Coordinate system: centerline_origin
# Water density: 1025.0
x,y,z
0.0,0.0,0.5
0.0,-0.3,0.3
0.0,0.3,0.3
0.0,-0.3,-0.1
0.0,0.3,-0.1
1.25,0.0,0.4
1.25,-0.3,0.2
1.25,0.3,0.2
1.25,-0.3,-0.15
1.25,0.3,-0.15
2.5,0.0,0.35
2.5,-0.3,0.15
2.5,0.3,0.15
2.5,-0.3,-0.2
2.5,0.3,-0.2
3.75,0.0,0.4
3.75,-0.3,0.2
3.75,0.3,0.2
3.75,-0.3,-0.15
3.75,0.3,-0.15
5.0,0.0,0.5
5.0,-0.3,0.3
5.0,0.3,0.3
5.0,-0.3,-0.1
5.0,0.3,-0.1
