# Generated: 2025-12-26 02:56:37
# Kayak Calculation Tool - Data Export
#
# Export Type: Stability Curve
# Waterline Z: 0.000000 m
# CG Position: LCG=2.420, VCG=-0.165, TCG=0.000 m
# Total Mass: 100.00 kg
# Number of Points: 41
# Integration Method: simpson
#
Heel_Angle_deg,GZ_m,LCB_m,VCB_m,TCB_m
0.000000,0.000000,2.600000,-0.068064,0.000000
2.000000,-0.113357,2.600000,-0.081022,-0.119116
4.000000,-0.179267,2.600000,0.031185,-0.190776
6.000000,-0.179320,2.600000,0.012852,-0.196567
8.000000,-0.187913,2.600000,0.016075,-0.210877
10.000000,-0.219457,2.600000,0.011507,-0.248109
12.000000,-0.239615,2.600000,-0.001086,-0.273920
14.000000,-0.309368,2.600000,0.008244,-0.349285
16.000000,-0.385671,2.600000,-0.010088,-0.431151
18.000000,-0.492134,2.600000,-0.040051,-0.543122
20.000000,-0.659455,2.600000,-0.090607,-0.715888
22.000000,-1.053066,2.600000,-0.197638,-1.114876
24.000000,-2.580607,2.600000,-0.604423,-2.647719
26.000000,-0.963900,2.600000,-0.380199,-1.036231
28.000000,-0.586947,2.600000,-0.300314,-0.664410
30.000000,-0.370021,2.600000,-0.236785,-0.452521
32.000000,-0.188293,2.600000,-0.181409,-0.275729
34.000000,-0.134840,2.600000,-0.173177,-0.227107
36.000000,-0.088288,2.600000,-0.165028,-0.185272
38.000000,-0.047811,2.600000,-0.157008,-0.149395
40.000000,-0.000468,2.600000,-0.143405,-0.106528
42.000000,0.031186,2.600000,-0.136826,-0.079220
44.000000,0.041842,2.600000,-0.142701,-0.072777
46.000000,0.053484,2.600000,-0.147138,-0.065207
48.000000,0.059465,2.600000,-0.136557,-0.063154
50.000000,0.067264,2.600000,-0.138220,-0.059133
52.000000,0.074914,2.600000,-0.139672,-0.055107
54.000000,0.036886,2.600000,-0.115240,-0.096602
56.000000,0.041335,2.600000,-0.110798,-0.095457
58.000000,0.034863,2.600000,-0.094120,-0.105065
60.000000,0.033835,2.600000,-0.090398,-0.109059
62.000000,0.036642,2.600000,-0.091650,-0.109045
64.000000,0.038962,2.600000,-0.093118,-0.109339
66.000000,0.041134,2.600000,-0.094544,-0.109601
68.000000,0.102292,2.600000,-0.095352,-0.050693
70.000000,0.108507,2.600000,-0.095988,-0.046542
72.000000,0.106548,2.600000,-0.096427,-0.050376
74.000000,0.104377,2.600000,-0.096857,-0.054231
76.000000,0.110023,2.600000,-0.092944,-0.050075
78.000000,0.117432,2.600000,-0.083575,-0.043963
80.000000,0.113674,2.600000,-0.081484,-0.048820
